CODIGO;DESCRICAO;GRUPO;COD_GRUPO
038003-2;Acura - Integra GS 1.8;ACURA;1
038002-4;Acura - Legend 3.2/3.5;ACURA;1
038001-6;Acura - NSX 3.0;ACURA;1
840015-6;ADLY - ATV 100;ADLY MOTOS - TODAS;2
840014-8;ADLY - ATV 50;ADLY MOTOS - TODAS;2
840007-5;ADLY - JAGUAR JT 100;ADLY MOTOS - TODAS;2
840008-3;ADLY - JAGUAR JT 50;ADLY MOTOS - TODAS;2
840016-4;ADLY - RT 50;ADLY MOTOS - TODAS;2
060001-6;Agrale - MARRUÁ 2.8 12V 132cv TDI Diesel;AGRALE - MARRUÁ;3
060004-0;Agrale - MARRUÁ AM 100 2.8 140CV CD TDI Diesel;AGRALE - MARRUÁ;3
060003-2;Agrale - MARRUÁ AM 100 2.8 140CV CS TDI Diesel;AGRALE - MARRUÁ;3
060006-7;Agrale - MARRUÁ AM 150 2.8 140CV CD TDI Diesel;AGRALE - MARRUÁ;3
060005-9;Agrale - MARRUÁ AM 150 2.8 140CV CS TDI Diesel;AGRALE - MARRUÁ;3
060008-3;Agrale - MARRUÁ AM 200 2.8 140CV CD TDI Diesel;AGRALE - MARRUÁ;3
060007-5;Agrale - MARRUÁ AM 200 2.8 140CV CS TDI Diesel;AGRALE - MARRUÁ;3
060002-4;Agrale - MARRUÁ AM 50 2.8 140CV TDI Diesel;AGRALE - MARRUÁ;3
501030-6;14000 2p (diesel) (E5);AGRALE CAMINHOES - TODOS;4
501031-4;14000 6x2 2p (diesel) (E5);AGRALE CAMINHOES - TODOS;4
501027-6;AGRALE - 13000 Turbo 2p (diesel);AGRALE CAMINHOES - TODOS;4
501028-4;AGRALE - 13000 Turbo 3-Eixos 2p (diesel);AGRALE CAMINHOES - TODOS;4
501001-2;AGRALE - 1600 D-RD 2p (diesel);AGRALE CAMINHOES - TODOS;4
501002-0;AGRALE - 1600 D-RS 2p (diesel);AGRALE CAMINHOES - TODOS;4
501003-9;AGRALE - 1800 D-RD 2p (diesel);AGRALE CAMINHOES - TODOS;4
501004-7;AGRALE - 1800 D-RS 2p (diesel);AGRALE CAMINHOES - TODOS;4
501005-5;AGRALE - 4500 D-RD 2p (diesel);AGRALE CAMINHOES - TODOS;4
501006-3;AGRALE - 4500 D-RS 2p (diesel);AGRALE CAMINHOES - TODOS;4
501007-1;AGRALE - 5000 D-RD 2p (diesel);AGRALE CAMINHOES - TODOS;4
501008-0;AGRALE - 5000 D-RS 2p (diesel);AGRALE CAMINHOES - TODOS;4
501021-7;AGRALE - 6000 D CD RS/ RD 3p (diesel);AGRALE CAMINHOES - TODOS;4
501020-9;AGRALE - 6000 D CS 2p (diesel);AGRALE CAMINHOES - TODOS;4
501022-5;AGRALE - 6000 Furgovan 2.8 TDI RS/ RD 4p;AGRALE CAMINHOES - TODOS;4
501009-8;AGRALE - 7000 D 2p (diesel);AGRALE CAMINHOES - TODOS;4
501010-1;AGRALE - 7000 D-RD (C.Dupla) 4p (diesel);AGRALE CAMINHOES - TODOS;4
501011-0;AGRALE - 7000 DX 2p (diesel);AGRALE CAMINHOES - TODOS;4
501012-8;AGRALE - 7500 TD 2p (diesel);AGRALE CAMINHOES - TODOS;4
501013-6;AGRALE - 7500 TDX 2p (diesel);AGRALE CAMINHOES - TODOS;4
501025-0;AGRALE - 8000 Furgovan 4.3 TDI 145cv Aut 4p;AGRALE CAMINHOES - TODOS;4
501024-1;AGRALE - 8000 Furgovan 4.3 TDI Mec 4p;AGRALE CAMINHOES - TODOS;4
501026-8;AGRALE - 8500 E-tronic CE 2p (diesel);AGRALE CAMINHOES - TODOS;4
501014-4;AGRALE - 8500 Turbo 2p (diesel);AGRALE CAMINHOES - TODOS;4
501029-2;AGRALE - 8500 Turbo CD 3p (diesel);AGRALE CAMINHOES - TODOS;4
501023-3;AGRALE - 9200 Turbo 2p (diesel);AGRALE CAMINHOES - TODOS;4
501034-9;AGRALE CAMINHAO 10000 4X2 E5;AGRALE CAMINHOES - TODOS;4
501032-2;AGRALE CAMINHAO 8700 4X2 E5;AGRALE CAMINHOES - TODOS;4
501033-0;AGRALE CAMINHAO 8700 TR 4X2 E5;AGRALE CAMINHOES - TODOS;4
501039-0;AGRALE-10000 LX 2p (diesel) (E5);AGRALE CAMINHOES - TODOS;4
501040-3;AGRALE-14000 LX 2p (diesel) (E5);AGRALE CAMINHOES - TODOS;4
501038-1;AGRALE-8700 LX 2p (diesel) (E5);AGRALE CAMINHOES - TODOS;4
501037-3;AGRALE-A10000 2p (diesel) (E5);AGRALE CAMINHOES - TODOS;4
501041-1;AGRALE-A7500 2p (diesel)(E5);AGRALE CAMINHOES - TODOS;4
501036-5;AGRALE-A8700 2p (diesel) (E5);AGRALE CAMINHOES - TODOS;4
501035-7;MARRUÁ AM 300 2.8 CS TDI Diesel (E5);AGRALE CAMINHOES - TODOS;4
801002-1;AGRALE - CITY 50;AGRALE MOTOS - TODAS;5
801003-0;AGRALE - CITY 90;AGRALE MOTOS - TODAS;5
801004-8;AGRALE - DAKAR 30.0 190cc;AGRALE MOTOS - TODAS;5
801005-6;AGRALE - DAKAR 50;AGRALE MOTOS - TODAS;5
801007-2;AGRALE - ELEFANT 16.5 125cc;AGRALE MOTOS - TODAS;5
801006-4;AGRALE - ELEFANT 27.5 190cc;AGRALE MOTOS - TODAS;5
801008-0;AGRALE - ELEFANTRE 16.5 ES 125cc;AGRALE MOTOS - TODAS;5
801009-9;AGRALE - ELEFANTRE 30.0 ES 190cc;AGRALE MOTOS - TODAS;5
801010-2;AGRALE - FORCE 50;AGRALE MOTOS - TODAS;5
801011-0;AGRALE - FORCE 90;AGRALE MOTOS - TODAS;5
801012-9;AGRALE - JUNIOR 50;AGRALE MOTOS - TODAS;5
801014-5;AGRALE - SST 13.5 125cc;AGRALE MOTOS - TODAS;5
801020-0;AGRALE - SUPER CITY 125;AGRALE MOTOS - TODAS;5
801016-1;AGRALE - SUPER CITY 150;AGRALE MOTOS - TODAS;5
801017-0;AGRALE - SXT 27.5 E 190cc;AGRALE MOTOS - TODAS;5
801018-8;AGRALE - SXT 27.5 EX 190cc;AGRALE MOTOS - TODAS;5
801019-6;AGRALE - TCHAU 50;AGRALE MOTOS - TODAS;5
006009-7;Alfa Romeo - 145 Elegant 1.7/1.8 16V;ALFA ROMEO 145;6
006001-1;Alfa Romeo - 145 Elegant 2.0 16V;ALFA ROMEO 145;6
006002-0;Alfa Romeo - 145 Quadrifoglio 2.0;ALFA ROMEO 145;6
006008-9;Alfa Romeo - 145 QV;ALFA ROMEO 145;6
006017-8;Alfa Romeo - 147 2.0 16V 148cv 4p Semi-Aut.;ALFA ROMEO 147;7
006003-8;Alfa Romeo - 155;ALFA ROMEO 155;8
006004-6;Alfa Romeo - 155 Super;ALFA ROMEO 155;8
006015-1;Alfa Romeo - 156 2.5 V6 24V 190cv 4p Aut.;ALFA ROMEO 156;9
006014-3;Alfa Romeo - 156 Sport Wagon 2.0 16V;ALFA ROMEO 156;9
006016-0;Alfa Romeo - 156 SportWagon 2.5 V6 24V 190cv 4p Aut.;ALFA ROMEO 156;9
006010-0;Alfa Romeo - 156 TS/Sport/Elegant 2.0 16V;ALFA ROMEO 156;9
006005-4;Alfa Romeo - 164 3.0 V6;ALFA ROMEO 164;10
006006-2;Alfa Romeo - 164 Super V6 24V;ALFA ROMEO 164;10
006011-9;Alfa Romeo - 166 3.0 V6 24V;ALFA ROMEO 166;11
006013-5;Alfa Romeo - 2300 TI/TI-4;ALFA ROMEO 2300;12
006007-0;Alfa Romeo - Spider 2.0/3.0;ALFA ROMEO SPIDER;13
037001-0;AM Gen - Hummer Hard-Top 6.5 4x4 Diesel TB;AM GEN;14
037002-9;AM Gen - Hummer Open-Top 6.5 4x4 Diesel TB;AM GEN;14
037003-7;AM Gen - Hummer Wagon 6.5 4x4 Diesel TB;AM GEN;14
007018-1;Asia Motors - AM-825 Luxo 4.0 Diesel;ASIA MOTORS AM;15
007019-0;Asia Motors - AM-825 Super Luxo 4.0 Diesel;ASIA MOTORS AM;15
007020-3;Asia Motors - Jipe Rocsta GT 4x4 2.2 Diesel;ASIA MOTORS JIPE;16
