"","Sinistralidade","IS Média","Exposição Média"
"(vazio) ",0,35245.4,0.18
"00000-0 ",0.03,73124.5,0.34
"000000-0",0,828217,0.23
"000000-2",0,43809.52,0.16
"0000000 ",0.05,300003.6,0.35
"0000000-",0.17,140683.26,0.56
"000367-7",0,11026,0.01
"001001-4",0.52,7645.11,0.72
"001002-2",0.72,5587.78,0.63
"001003-0",0.15,29038.7,0.52
"001004-9",0.46,7043.72,1.65
"001005-7",0.34,8055.39,1.62
"001006-5",0.45,6770.68,1.58
"001007-3",0.32,6928.57,1.32
"001008-1",0.34,7609.35,1.79
"001009-0",0.24,7811.55,0.76
"001010-3",0.28,8243.96,1
"001011-1",0.49,8298.41,0.62
"001012-0",0.51,10104.16,1.03
"001013-8",1,8754.38,0.52
"001014-6",0.43,8782.83,0.61
"001015-4",0.66,24827.09,1.04
"001016-2",0.09,7820.91,0.55
"001017-0",0.23,8485.73,0.59
"001018-9",0.5,6999.44,1.26
"001020-0",0.41,6247.26,1.28
"001021-9",0.48,3391.62,0.45
"001022-7",0.2,3744.66,0.5
"001023-5",0,3281.76,0.48
"001024-3",0.25,4420.72,0.64
"001025-1",0.24,4466.48,0.59
"001026-0",0.05,6050.34,0.49
"001027-8",0.72,16521.68,2.64
"001028-6",0.07,4491.53,0.47
"001029-4",0.19,4625.81,0.47
"001030-8",0.1,4874.73,0.42
"001031-6",0.3,7561.32,1.27
"001032-4",0.51,2757.46,0.45
"001033-2",0.26,2323.7,0.37
"001034-0",0.35,3694.14,0.52
"001035-9",0.4,4427.97,0.46
"001036-7",0.28,1981.39,0.47
"001037-5",0.35,4336.33,0.54
"001038-3",0.27,3370.72,0.45
"001039-1",0.51,6039.37,0.53
"001040-5",0.09,4589.54,0.58
"001041-3",0.19,4676.54,0.49
"001042-1",0.08,6206.29,0.53
"001043-0",0,5123.31,0.43
"001044-8",0.09,7077.05,0.5
"001045-6",0.5,3848.21,0.48
"001046-4",0.41,4855.37,0.89
"001047-2",0.23,5012.74,1.18
"001048-0",0.54,6384.53,1.08
"001049-9",0,1818.89,0.4
"001050-2",0.24,4471.31,0.53
"001051-0",0.09,4395.93,0.51
"001052-9",0.33,6149.66,0.66
"001053-7",0.96,5527.66,0.5
"001054-5",0.07,6721.74,0.49
"001055-3",7.33,5618.13,0.42
"001056-1",0,10278.67,0.45
"001057-0",0.09,13768.85,0.54
"001058-8",0.13,4610.06,0.53
"001059-6",0.21,4282.13,0.92
"001061-8",0,3271.75,0.45
"001062-6",0.04,4488.32,0.44
"001063-4",0.33,8829.55,0.81
"001064-2",0.37,5506.93,1.82
"001065-0",0.43,9424.04,1.69
"001066-9",0.75,15167.73,1.19
"001067-7",0.03,9180.72,0.59
"001068-5",0.33,9682.33,0.71
"001069-3",0.1,10383.19,0.43
"001070-7",0.42,7455.57,0.61
"001071-5",0.01,9642.99,0.42
"001073-1",0.4,10050.25,0.7
"001074-0",2.23,8655.5,0.52
"001075-8",0.98,9701.53,0.42
"001077-4",0.57,10309.9,0.6
"001078-2",0.38,8666.32,0.97
"001079-0",0,0,0.36
"001080-4",0.72,7777.07,0.55
"001081-2",0.37,7373.08,0.58
"001082-0",0.4,7927.63,0.56
"001083-9",0.42,15901.6,0.45
"001084-7",0,10985,0.15
"001085-5",0.06,8316.38,0.42
"001086-3",0.95,7719.21,0.43
"001087-1",0.17,7277.37,0.48
"001088-0",0.07,13778.62,0.39
"001089-8",0.42,10347.75,0.79
"001090-1",0.06,9587.59,0.46
"001091-0",0.83,10649.86,0.44
"001092-8",0.13,4204.71,0.72
"001093-6",0.01,5847.37,0.39
"001094-4",0.06,5961.34,0.46
"001095-2",0.18,13535.26,0.37
"001096-0",0.02,16348.02,0.41
"001098-7",4.34,15225,0.31
"001100-2",0.08,13677.2,0.37
"001102-9",0.03,5605.62,0.42
"001103-7",0.6,6098.24,0.67
"001104-5",0.19,9118.09,0.92
"001105-3",0,0,0.5
"001106-1",0.61,36818.05,0.94
"001107-0",0.81,29993,0.71
"001108-8",0.71,37297.46,0.85
"001109-6",0.76,8842.31,0.75
"001110-0",0.72,13486.45,0.49
"001111-8",0.54,13610.24,1.16
"001112-6",0.36,38387.05,0.41
"001113-4",0.57,13010.78,0.59
"001114-2",0.51,13618.6,0.47
"001115-0",0.32,10053.92,0.53
"001116-9",1.21,48607.77,0.52
"001117-7",0,79731.01,0.44
"001118-5",0,77488.77,0.7
"001119-3",0,67514.9,0.28
"001122-3",0.4,12401.95,0.97
"001123-1",0,1197.79,0.45
"001124-0",0.03,3900.22,0.38
"001129-0",0.11,4699.05,0.46
"001130-4",0.06,15500.32,0.55
"001131-2",0,8252.67,0.31
"001132-0",0,20736.9,0.17
"001133-9",0.78,8425.74,0.46
"001134-7",1.07,17384.87,0.52
"001136-3",0.01,10390.38,0.46
"001137-1",0.51,7513.57,0.9
"001140-1",0.29,9420.25,0.52
"001141-0",0.5,11637.03,1.16
"001142-2",0,21620,0.48
"001142-8",0.57,10341.19,1.17
"001143-6",0.48,10823.1,1.09
"001144-4",0.29,10343.61,0.51
"001145-2",0.44,11044.83,0.55
"001146-0",0.75,9595.46,0.47
"001147-9",0.79,10109.8,0.47
"001148-7",0.56,12604.5,0.47
"001149-5",0.36,8041.94,1.31
"001150-9",0.26,9024.99,1.05
"001151-7",0.53,10024.4,1.77
"001152-5",0.36,11408.8,0.52
"001153-3",0.52,10967.51,1.11
"001154-1",0.47,10175.26,2.09
"001155-0",0.66,11853.64,0.5
"001156-8",0.57,10901.04,1.2
"001157-6",0.47,10183.34,0.84
"001158-4",0.4,10170.38,1.29
"001159-2",0.42,42322.48,0.97
"001160-6",0.1,30577.47,0.43
"001161-4",0.7,12052.33,3.66
"001162-2",0.58,13126.92,3.46
"001163-0",0.54,13566.86,0.83
"001164-9",0.14,11554.42,0.57
"001165-7",0.3,8695.37,1.26
"001166-5",0.39,9518.1,0.98
"001167-3",0.63,17302.07,0.86
"001168-1",0.78,17393.21,0.79
"001169-0",0.5,12688.2,0.45
"001170-3",0.5,13758.59,0.58
"001171-1",0.49,9644.32,0.51
"001172-0",0.47,10633.92,0.64
"001173-8",2.08,14127.78,0.43
"001174-6",1.31,13454.15,0.43
"001175-4",0.67,16201.38,2.74
"001176-2",0.66,15128.09,3.09
"001177-0",0.63,17978.1,4.93
"001178-9",0.37,11724.72,0.95
"001179-7",0.43,12248.52,0.93
"001180-0",0.66,16111.6,0.9
"001181-9",0.61,15842.45,0.77
"001182-7",1.49,17082.82,0.39
"001183-5",0.54,12597.75,0.84
"001184-3",0.37,14480.45,0.8
"001185-1",0.51,13151.4,0.57
"001186-0",0.78,12138.96,0.43
"001187-8",0.19,13078.07,0.42
"001188-6",0.11,13396.61,0.5
"001189-4",0.48,15160.34,0.75
"001190-8",0.76,29958.24,0.81
"001191-6",0.64,13438.39,0.8
"001192-4",0.61,13197.66,0.68
"001193-2",0.95,13942.13,0.67
"001194-0",0.52,15598.52,1.15
"001195-9",0.33,12143.87,0.61
"001196-7",0.67,19316.59,0.67
"001197-5",0.7,11956.95,0.7
"001198-3",0.44,12145.92,0.82
"001199-1",0.69,12263.9,0.65
"001200-9",0,9061.69,0.41
"001201-7",0.05,10718.35,0.5
"001202-5",0.11,11958.31,0.41
"001203-3",0.74,10346.52,0.82
"001204-1",0.85,22045.49,1.01
"001205-0",0.73,19031.82,0.62
"001206-8",0.51,15454.26,0.63
"001207-6",0.69,17357.22,2.77
"001208-4",0.55,14411.99,3.05
"001209-2",0.13,14086.35,0.65
"001210-6",0.54,15288.76,0.88
"001211-4",0.77,17759.92,1.3
"001212-2",0.65,14356,1.59
"001213-0",0.66,17706.24,1.38
"001214-9",0.53,15271.13,1.59
"001215-7",0.63,16859.64,1.07
"001216-5",0.76,32645.6,2.36
"001217-3",0.46,16878.76,0.59
"001218-1",0.57,18406.98,0.55
"001219-0",0.59,19957.54,1.17
"001220-3",0.64,19017.6,0.48
"001221-1",0.62,18086.75,2.54
"001222-0",0.57,19759.8,1.49
"001223-8",0.72,18186.78,4.73
"001224-6",0.82,19896.18,3.09
"001225-4",0.8,20054.68,2.5
"001226-2",0.61,13608.03,0.5
"001227-0",1.38,16131.76,0.46
"001228-9",0.6,19773.47,5.59
"001229-7",0.61,20247.9,1.11
"001230-0",0.71,19767.03,1.3
"001231-9",0.5,20648.44,0.61
"001232-7",0.66,18922.4,1.05
"001233-5",0.64,21391.27,1.22
"001234-3",0.68,39501.58,1.51
"001235-1",0.68,25977.09,1.02
"001236-0",0.65,22828.77,1
"001237-8",0.71,17761.08,1.33
"001238-6",0.56,20294.46,4.18
"001239-4",0.61,20183.86,2.44
"001240-8",0.73,27030.66,0.87
"001241-6",1.02,19948.7,1.32
"001242-4",0.73,31532.31,3.05
"001243-2",0.57,20804.57,0.8
"001244-0",0.95,17495.15,0.54
"001245-9",0.77,15904.14,0.92
"001246-7",0.63,16783.86,1.05
"001247-5",0.86,24224.84,0.77
"001248-3",0.79,22348.29,1.81
"001249-1",0.74,21422.68,4.08
"001250-5",0.72,21437.41,1.38
"001251-3",0.98,33110.7,1.06
"001252-1",0.84,22622.56,0.88
"001253-0",1.41,23487.94,0.52
"001254-8",1.08,26135.17,0.75
"001255-6",0.7,34681.42,2.63
"001256-4",0.85,23123.17,1.85
"001257-2",0.88,36078.5,1.63
"001258-0",0.79,24716.94,1.23
"001259-9",1.24,25117.71,1.06
"001260-2",0.99,33788.27,1.14
"001261-0",1.5,28380.87,0.5
"001262-9",0.89,14913.81,2.28
"001263-7",0.7,17512.63,4.15
"001264-5",0.96,16480.1,0.77
"001265-3",0.72,19359.17,1.63
"001266-1",0.71,16700.95,3.26
"001267-0",0.68,19642.89,5.75
"001268-8",0.58,18178.73,2.42
"001269-6",0.65,20514.32,4.85
"001270-0",1.22,28294.56,0.65
"001271-8",1.22,38972.49,0.66
"001272-6",0.92,24132.87,3.79
"001273-4",0.82,25297.98,2.66
"001274-2",0.8,25235.12,1.06
"001275-0",0.74,25352.53,0.91
"001276-9",0.36,22375.66,1.29
"001277-7",0.84,45157.22,2.72
"001278-5",0.42,20858.73,0.91
"001279-3",0.62,22894.08,0.79
"001280-7",0.82,35853.63,1.4
"001281-5",0.8,35052.16,2.03
"001282-3",0.85,54428.75,1.15
"001283-1",0.66,56298.33,0.93
"001284-0",0.11,52939.08,0.67
"001285-8",0.63,64127.97,1.03
"001286-6",0.76,70633.89,0.95
"001287-4",0.5,65071.62,1.55
"001288-2",0.78,58293.7,0.75
"001289-0",0.82,59286.87,1.38
"001290-4",0.91,25648.98,0.7
"001291-2",0.78,29079.78,4.11
"001292-0",0.78,29927.68,1.56
"001293-9",0.71,36988.38,3.03
"001294-7",0.88,23006.62,1.15
"001295-5",0.75,26480.72,0.57
"001296-3",0.55,27838.83,0.56
"001297-1",0.76,29004.76,0.54
"001298-0",0.58,22322.27,0.88
"001299-8",0.66,23310.33,0.65
"001300-5",0.28,26729.75,0.6
"001301-3",0.62,29122.86,0.84
"001302-1",0.61,27769.39,1.47
"001303-0",0.62,22579.87,4.99
"001304-8",0.45,22746.21,1.22
"001305-6",0.65,26050.69,3.91
"001306-4",0.54,28300.01,2.24
"001307-2",0.64,23904.5,4.66
"001308-0",0.46,23211.26,1.07
"001309-9",0.58,25161.61,3.86
"001310-2",0.54,26065.18,2.42
"001311-0",0.58,22099.74,0.83
"001312-9",0.88,22723.26,0.63
"001313-7",0.7,32304.57,5.07
"001314-5",0.66,28963.52,6.57
"001315-3",0.89,30576.08,1.52
"001316-1",0.7,33045.78,3.21
"001317-0",0.89,27393.5,0.79
"001318-8",1.17,27427.23,0.76
"001319-6",0.75,36624.94,0.78
"001320-0",0.69,20729.9,0.47
"001321-8",0.7,22186,0.9
"001322-6",0.79,24539.76,1.13
"001323-4",0.94,24763.73,0.72
"001324-2",0.72,31717.12,2.8
"001325-0",0.67,31862.7,1.6
"001326-9",0.85,32272.06,2.46
"001327-7",0.75,32476.9,1.43
"001328-5",0.6,30774.9,4.97
"001329-3",0.71,29578.85,0.7
"001330-7",1.59,30113.11,0.7
"001331-5",0.89,27991.83,2.89
"001332-3",0.81,29126.32,2.57
"001333-1",1.3,21733.42,0.46
"001334-0",1.11,25247.75,0.4
"001335-8",0.98,27600.21,0.49
"001336-6",1.12,30470.28,1.68
"001337-4",0.67,35643.28,1.68
"001338-2",0.9,35733.41,1.2
"001339-0",0.67,30881.87,0.86
"001340-4",0.91,33905.45,1.06
"001341-2",0.67,31564.3,2.63
"001342-0",0.72,34696.4,1.46
"001343-9",0.7,19832.27,4.44
"001344-7",0.71,22338.53,2.99
"001345-5",0.89,18201.72,1.53
"001346-3",0.74,18661.79,2.17
"001347-1",0.91,17687.71,0.57
"001348-0",0.29,22300,0.64
"001349-8",0.9,21404.11,0.9
"001350-1",0.67,20846.36,1.55
"001351-0",1.74,17765.72,0.51
"001352-8",0.54,44962.53,1.81
"001353-6",0.66,36876.45,1.14
"001354-4",0.81,35554.42,1.88
"001355-2",0.93,37175.86,1.19
"001356-0",1.07,44463.31,0.83
"001357-9",1,38294.32,1.19
"001358-7",0.88,28340.85,0.78
"001359-5",0.28,39593.35,0.92
"001360-9",0.36,35988.63,1.09
"001361-7",0.51,30535.15,2.01
"001362-5",0.56,31225.75,1.89
"001363-3",0.85,44620.6,0.94
"001364-1",0.59,45832.46,0.7
"001365-0",0.71,59568.21,2.36
"001366-8",1.06,17679.17,0.45
"001367-6",0.58,24752.77,1.37
"001368-4",0.8,17419.9,0.42
"001369-2",0.55,25363.71,1.39
"001370-6",0.84,36359.52,2.66
"001371-4",0.94,36499.43,1.19
"001372-2",0.71,29292.99,10.86
"001373-0",0.43,34288.14,0.8
"001374-9",0.78,36790.32,0.58
"001375-7",0.16,36664.42,0.53
"001376-5",1.11,36403.69,0.51
"001377-3",0.66,34857.83,1.7
"001378-1",0.71,36695.84,7.86
"001379-0",0.72,36949.06,6.21
"001380-3",0.79,39012.5,2.86
"001381-1",0.89,34201.49,2.47
"001382-0",0.61,42521.72,1.39
"001383-8",0.73,45826.08,0.83
"001384-6",0.89,42024.34,1.14
"001385-4",1.18,44092.37,0.96
"001386-2",0.76,26855.07,0.9
"001387-0",0.67,29032.51,1.02
"001388-9",0.87,41414.62,1.24
"001389-7",0.86,29831.54,2.7
"001390-0",0.68,33234.64,1.31
"001391-9",0.69,39052.17,1.91
"001392-7",0.47,50979,0.83
"001393-5",0.05,21721.86,0.62
"001394-3",0.61,25661.94,0.64
"001395-1",0.81,28883.28,0.52
"001396-0",0.86,29515.76,0.5
"001397-8",0.62,35576.4,0.67
"001398-6",0.95,37219.82,0.48
"001399-4",0.8,41891.89,0.99
"001400-1",0.79,41124.15,0.9
"001401-0",0.38,25284.97,0.82
"001402-8",2.05,44377.29,0.47
"001403-6",2.39,44536.5,0.45
"001404-4",1.24,44142.88,0.47
"001405-2",2.33,44104.16,0.49
"001406-0",0.31,32346.25,0.41
"001407-9",0.9,42504.19,1.01
"001408-7",0.57,43985.02,0.72
"001409-5",1.56,34746.4,0.54
"001410-9",0.57,37707.71,0.48
"001411-7",1.41,44425.04,0.61
"001412-5",1.42,46735.21,0.52
"001413-3",0.7,32830.65,2.61
"001414-1",0.68,31971.33,2
"001415-0",0.84,25361.52,0.71
"001416-8",1.01,42053.37,0.59
"001417-6",0.61,47760.83,0.51
"001418-4",0.81,27257.71,2.82
"001419-2",0.69,27125.5,2.27
"001420-6",0.25,47083.14,0.98
"001421-4",0.33,48136.83,0.59
"001422-2",0.72,37367.26,0.7
"001423-0",1.38,38834.37,0.54
"001424-9",0.73,32957.64,3.21
"001425-7",0.39,32964.74,1.13
"001426-5",0.56,27626.58,0.79
"001427-3",0.6,36709.82,1.04
"001428-1",0.73,38979.42,1
"001429-0",0.73,67831.63,0.68
"001430-3",0.52,22361.83,0.77
"001431-1",0.78,49237.44,2.42
"001432-0",0.83,45350.15,1.99
"001433-8",0.77,40659.25,3.92
"001434-6",0.92,50275.89,0.7
"001435-4",0.8,53181.09,0.77
"001436-2",1.05,24770.56,0.64
"001437-0",0.54,41362.28,0.92
"001438-9",0.92,34108.46,0.73
"001439-7",0.49,33562.04,0.97
"001440-0",0.57,28054.56,0.64
"001441-9",1.09,43428.83,0.41
"001442-7",1.02,44470.18,0.53
"001443-5",0.13,56464.63,0.38
"001444-3",0.17,52195.33,0.49
"001445-1",0.93,57159.59,0.49
"001446-0",7.35,52179.46,0.43
"001447-8",2.26,48105.23,0.44
"001448-6",1.36,52756.77,0.48
"001449-4",0.59,77497.31,5.85
"001450-8",0.58,77100.87,2.24
"001451-6",0.71,88236.43,1.33
"001452-4",0.7,89880.58,1.11
"001453-2",0.67,110196.42,4.47
"001454-0",1.62,55763.59,0.51
"001455-9",0.1,49523.04,0.54
"001456-7",1.4,61579.6,0.5
"001457-5",1.36,49869.19,0.47
"001458-3",0.13,51951.68,0.57
"001459-1",0.25,55543.96,0.43
"001460-5",0.2,54762.65,0.45
"001461-3",0.76,33539.85,6.43
"001462-1",0.65,34466.97,1.68
"001463-0",0.64,28041.53,2.15
"001464-8",0.75,31141.87,2.23
"001465-6",0.65,37846.13,1.31
"001466-4",0.64,35221.62,2.27
"001467-2",1.29,43809.61,0.48
"001468-0",1.63,46505.26,0.4
"001469-9",0.11,40071.74,0.4
"001470-2",0.26,37365.27,0.51
"001471-0",0.72,43188.98,0.82
"001472-9",0.75,47437.56,0.6
"001473-7",0.66,40951.98,1.3
"001474-5",0.68,36973.74,1.61
"001475-3",0.61,33502.75,4.23
"001476-1",0.57,45699.68,0.85
"001477-0",0.54,48984.53,2.5
"001478-8",0.56,35228.82,0.9
"001479-6",0.56,85699.36,1.52
"001480-0",0.88,35694.64,2.47
"001481-8",0.74,39227.98,2.73
"001482-6",0.59,41715.25,1.26
"001483-4",0.16,82155.09,0.47
"001484-2",0.41,85516.27,1.79
"001485-0",0.54,94859.9,0.91
"001486-9",0.95,34594.09,2.67
"001487-7",0.56,107510.5,2.45
"001488-5",0.48,65747.56,1.65
"001489-3",0.59,62661.02,1.45
"001490-7",0.51,58783.05,1.05
"001491-5",0.48,57879.72,0.97
"001492-3",0.65,55088.74,2.48
"001493-1",0.61,50927.89,4.97
"001494-0",0.67,43971.86,7.68
"001495-8",0.46,101654.37,0.63
"001496-6",1.05,99634.5,0.69
"001497-4",0.38,96466.34,0.62
"001498-2",0.91,110115.54,0.47
"001499-0",0.76,118599.72,0.61
"001500-8",0.55,111712.69,0.78
"001501-6",0.17,119460.48,0.44
"001502-4",0.82,64377.42,3.05
"001503-2",0.55,60659.32,1.06
"001504-0",0.76,57362.09,2.47
"001505-9",0.74,53908.7,3.68
"001506-7",0.75,52151.62,1.18
"001507-5",1.01,100412.13,0.97
"001508-3",0.54,75950.45,2.6
"001509-1",0.78,43130.95,2.64
"001510-5",1.31,33402.39,0.55
"001511-3",0.28,120464.29,0.23
"001512-1",0.27,140386.58,0.49
"001513-0",0.09,132627.25,0.56
"001514-8",0.02,143336.2,0.58
"001515-6",0.95,61549.26,1.38
"001516-4",0.57,133446.86,1.4
"001517-2",0.5,65393.24,0.73
"001518-0",0.73,59647.41,0.58
"001519-9",0.41,59635.68,0.17
"001520-2",0,70453.5,0.38
"001703-3",0,71017.5,0.39
"001823-3",0,21071.54,0.44
"001839-9",0,28065,0.3
"002001-0",0.01,25970.18,0.43
"002002-8",0.61,25444.86,0.47
"002003-6",0.15,22404.98,0.51
"002005-2",0.3,13104.96,0.46
"002006-0",0.79,21300.19,0.49
"002008-7",0.09,23571.61,0.53
"002009-5",0.17,7739.92,0.49
"002010-9",0.12,18895.81,0.57
"002011-7",0.32,5649,0.77
"002012-5",0.23,8174.6,0.69
"002013-3",0.13,6293.58,0.56
"002014-1",0.51,11877.92,0.51
"002015-0",1.06,84597.75,1.48
"002016-8",0,5669.35,0.49
"002017-6",0.04,17607.83,0.54
"002018-4",0.32,14919.84,0.61
"002018-8",0,90990,0.26
"002019-2",0.09,21493.41,0.53
"002021-4",0.16,5652.17,0.56
"002022-2",0.22,8357.85,0.55
"002024-9",0.89,7163.18,0.66
"002027-3",0.7,30698.61,1.07
"002028-1",0.78,24860.02,2.2
"002029-0",1.15,16090.1,0.38
"002030-3",0,7504.49,0.47
"002031-1",0.06,13270.05,0.51
"002032-0",0.1,19943.48,0.48
"002033-8",0.08,24542.23,0.54
"002037-0",0.11,7878.91,0.52
"002038-9",0,18943.67,0.33
"002039-7",0,4857.31,0.48
"002040-0",0.29,17586.16,0.45
"002041-9",0.46,27619.48,0.91
"002043-5",0,13337,0.5
"002045-1",0,12445,0.23
"002046-0",0.42,8244.19,0.66
"002047-8",0.52,10510.89,0.49
"002048-6",0,13920.77,0.45
"002050-8",0,29730.11,0.5
"002051-6",0.22,10698.51,0.39
"002052-4",0.28,31660.06,0.89
"002053-2",0.14,18360.97,0.41
"002054-0",0,0,0.41
"002055-9",0,0,0.5
"002057-5",2.47,44698.38,0.4
"002059-1",0.31,25337.69,0.4
"002060-5",0.67,30925.25,2.96
"002061-3",0.66,27989.01,5.53
"002062-1",0.55,38500.19,1.82
"002063-0",0.08,5521.06,0.57
"002064-8",0.48,76354.51,0.44
"002066-4",0.58,75316.33,1.61
"002067-2",0,17240.94,0.49
"002068-0",4.84,19591.12,0.37
"002069-9",0.3,28985.74,0.56
"002070-2",0.8,17428.43,0.45
"002071-0",0,23421.31,0.28
"002072-9",0.08,25642.63,0.4
"002073-7",0.07,31982.29,0.61
"002074-5",0.21,20628.61,0.46
"002075-3",1.24,32350.71,0.52
"002076-1",0.35,33006.16,0.51
"002077-0",0.53,34782.41,0.56
"002078-8",0.45,38836.61,0.74
"002079-6",0.63,20851.3,1.43
"002080-0",0.65,27202.66,1.7
"002081-8",0.79,53173.62,0.42
"002082-6",0.66,65876.99,0.91
"002083-4",0.65,22735.69,1.18
"002084-2",0.61,24693.54,3.16
"002085-0",1.07,39317.56,0.5
"002086-9",0.93,47487.28,0.65
"002087-7",0.41,52173.55,0.49
"002088-5",0.93,56863.38,1.07
"002089-3",0.87,54043.73,0.5
"002090-7",1.07,66719.09,0.92
"002091-5",0.91,60219.75,0.65
"002092-3",1.43,69091.35,1.83
"002093-1",0.7,89982.01,4.64
"002094-0",0.77,35872.52,0.46
"002095-8",0.49,63732.38,0.52
"002096-6",0.72,97102.33,3.23
"002097-4",0.61,43152.36,1.24
"002098-2",0.55,64932.55,0.96
"002099-0",0.63,25173.04,0.45
"002100-8",0.46,27504.18,0.68
"002101-6",0.47,22218.77,0.61
"002102-4",0.57,26137.3,1.09
"002103-2",0.31,28340.3,1.06
"002104-0",1.07,50733.36,0.62
"002105-9",0.66,72226.86,0.58
"002106-7",0.88,60849.52,0.43
"002107-5",0.59,99649.95,1.48
"002108-3",0.99,42912.72,1.57
"002109-1",0.67,55967.3,6.87
"002110-5",0.72,72898.22,1.04
"002111-3",0.69,66551.67,15.35
"002112-1",0.75,74911.95,2.99
"002113-0",0.54,48432.46,1.72
"002114-8",0.69,90176.43,1.22
"002115-6",0.82,75602.86,2.13
"002116-4",0.67,100676.35,1.26
"002117-2",0.95,69679.31,1.12
"002118-0",1.5,58260.17,0.61
"002119-9",1.02,77058.94,1.49
"002120-2",1.34,119569.87,0.46
"002121-0",0.74,28354.63,0.74
"002122-9",0.66,35485.04,6.55
"002123-7",0.63,28672.63,5.28
"002124-5",0.61,36560.44,3.3
"002125-3",0.79,38909.1,2.97
"002126-1",0.73,36985.16,3.71
"002127-0",0.75,37338.64,4.31
"002128-8",1.31,65543.08,0.44
"002129-6",0.39,101084.14,1.71
"002130-0",0.78,87026.25,1.78
"002131-8",0.5,91800.48,1.2
"002132-6",0.55,38313.6,3.57
"002133-4",0.74,42191.03,2.11
"002134-2",0.54,39351.63,0.82
"002135-0",0.73,42264.51,1.97
"002136-9",0.55,91706.29,1.4
"002137-7",0.93,123872.78,1.22
"002138-5",0.51,94204.63,0.91
"002139-3",0.64,74570.14,5.17
"002139-9",0,19161.73,0.49
"002140-7",0.59,120059.9,1.65
"002141-1",5.76,22271.49,0.26
"002141-5",0.99,150386.18,4.6
"002142-3",0.86,124780.17,1.13
"002143-1",0.76,135507.49,4.63
"002144-0",0.86,92169.46,1.02
"002145-8",0.77,92293.25,0.65
"002146-6",0.75,200841.46,4.36
"002147-4",0.1,171206.96,0.6
"002148-2",0.64,55507.14,1.9
"002149-0",0.77,53753.28,3.18
"002150-4",0.56,53625.78,2.23
"002151-2",0.64,48693.71,3.22
"002152-0",0.57,48363.53,4.17
"002153-9",0.69,49367.51,1.84
"002154-7",0.62,46055.69,3.16
"002155-5",0.56,72356.4,0.92
"002156-3",0.45,55880.45,1.79
"002157-1",0.69,58836.43,2.85
"002158-0",0.81,79620.97,1.29
"002159-8",0.41,51640.54,0.88
"002160-1",0.38,158661.08,1.11
