"","Roubo e Furto","Colisão Parcial","Colisão Perda Total","Incêndio","Assistência 24H","Compreensivo"
"(vazio) ",0,0,0,0,0,0
"00000-0 ",0,0,47.74,0,0,47.74
"000000-0",0,0,0,0,0,0
"000000-2",0,0,0,0,0,0
"0000000 ",0,0,0,0,343.33,343.33
"0000000-",0,0.15,0,0,997.19,997.34
"000367-7",0,0,0,0,0,0
"001001-4",195.45,77.15,70.92,16.34,91.58,451.44
"001002-2",178.56,0,176.63,0,29.19,384.38
"001003-0",0,0,83.51,0,123.31,206.82
"001004-9",278.13,109.87,397.61,0,203.46,989.07
"001005-7",56.24,67.8,190.65,0,355.84,670.53
"001006-5",124.32,52.88,171.86,20.8,497.66,867.52
"001007-3",24.61,8.49,259.42,28.66,234.55,555.73
"001008-1",90.05,74.08,188.32,12.62,391.83,756.9
"001009-0",0,63.89,80.66,0,110.92,255.47
"001010-3",33.88,19.57,77.64,0,260.65,391.74
"001011-1",0,12.34,292.06,0,102.68,407.08
"001012-0",117.52,48.15,290.1,1.01,353.4,810.18
"001013-8",338.31,83.52,220.65,0,140.31,782.79
"001014-6",103.15,0,101.37,0,183.84,388.36
"001015-4",559.39,493.4,357,12.87,149.07,1571.73
"001016-2",0,0,0,0,71.35,71.35
"001017-0",0,41.72,0,0,142.05,183.77
"001018-9",302.89,38.66,185.31,0,269.57,796.43
"001020-0",233.82,22.58,197.44,0,156.06,609.9
"001021-9",0,0,143.05,0,0,143.05
"001022-7",0,0,0,0,120.74,120.74
"001023-5",0,0,0,0,0,0
"001024-3",35.96,25.25,47.63,0,61.46,170.3
"001025-1",0,0,113.79,0,41.45,155.24
"001026-0",0,15.5,0,0,8.46,23.96
"001027-8",867.23,913.75,1339.83,127.07,867.89,4115.77
"001028-6",0,0,0,0,24.16,24.16
"001029-4",0,9.86,3.04,0,57.87,70.77
"001030-8",0,0,0,0,39.27,39.27
"001031-6",103.72,42.85,95.71,5.33,254.37,501.98
"001032-4",0,0,157.3,0,38.67,195.97
"001033-2",0,0,0,0,80.63,80.63
"001034-0",38.08,0,98.84,0,51.13,188.05
"001035-9",0,0,186.66,0,42.03,228.69
"001036-7",0,0,0,0,54.84,54.84
"001037-5",0,0,0,0,181.67,181.67
"001038-3",0,0,0,0,109.76,109.76
"001039-1",0,0,280.51,0,34.51,315.02
"001040-5",0,0,0,0,54.34,54.34
"001041-3",0,0,0,0,97.22,97.22
"001042-1",0,0,0,0,49.19,49.19
"001043-0",0,0,0,0,0,0
"001044-8",0,0,0,0,68.04,68.04
"001045-6",0,0,220.01,0,9.55,229.56
"001046-4",141.1,40.7,74.33,9.44,108.29,373.86
"001047-2",71.43,27.22,77.97,0,132.76,309.38
"001048-0",216.78,36.26,139.63,0,347.94,740.61
"001049-9",0,0,0,0,0,0
"001050-2",54.97,5.88,0,0,76.94,137.79
"001051-0",0,0,17.86,0,24.24,42.1
"001052-9",69.36,12.25,65.95,0,120.88,268.44
"001053-7",299.23,251.47,0,0,25.5,576.2
"001054-5",0,0,0,0,39.01,39.01
"001055-3",0,0,0,0,3361.16,3361.16
"001056-1",0,0,0,0,0,0
"001057-0",0,0,0,0,74.49,74.49
"001058-8",0,0,0,0,76.96,76.96
"001059-6",38.07,0,46.02,0,135.55,219.64
"001061-8",0,0,0,0,0,0
"001062-6",0,0,0,0,25.2,25.2
"001063-4",0,27.84,124.63,0,213.66,366.13
"001064-2",178.73,30.08,229.43,0,335.68,773.92
"001065-0",384.47,109.19,206.17,18.09,257.05,974.97
"001066-9",377.83,372.21,602.81,34.49,212.59,1599.93
"001067-7",0,0,0,0,23.25,23.25
"001068-5",64.4,21.25,63.91,0,181.57,331.13
"001069-3",0,0,0,0,82.81,82.81
"001070-7",40.31,51.77,78.09,0,139.24,309.41
"001071-5",0,0,0,0,5.67,5.67
"001073-1",0,141.38,97.92,95.62,90.66,425.58
"001074-0",1557.86,0,0,0,37.29,1595.15
"001075-8",0,525.77,0,0,29.24,555.01
"001077-4",71.75,80.37,68.21,0,287.28,507.61
"001078-2",73.2,1.59,249.39,0,196.16,520.34
"001079-0",0,0,0,0,0,0
"001080-4",414.97,0,0,0,102.21,517.18
"001081-2",0,17.83,0,138.2,124.18,280.21
"001082-0",0,165.84,3.45,0,123.13,292.42
"001083-9",0,0,313.78,0,69.61,383.39
"001084-7",0,0,0,0,0,0
"001085-5",0,0,0,0,31.99,31.99
"001086-3",0,0,443.49,0,103.3,546.79
"001087-1",0,0,0,0,97.41,97.41
"001088-0",0,0,0,0,53.2,53.2
"001089-8",112.08,71.07,150.33,0,160.06,493.54
"001090-1",0,0,0,0,40.56,40.56
"001091-0",488.62,0,0,0,96.15,584.77
"001092-8",0,0,0,0,99.78,99.78
"001093-6",0,0,0,0,5.91,5.91
"001094-4",0,0,0,0,31.81,31.81
"001095-2",0,0,0,0,98.13,98.13
"001096-0",0,0,0,0,17.16,17.16
"001098-7",3130.27,0,0,0,88.17,3218.44
"001100-2",0,0,0,0,74.02,74.02
"001102-9",0,0,0,0,13.84,13.84
"001103-7",193.57,15.34,182.26,0,38.87,430.04
"001104-5",0,86.1,0,0,163.76,249.86
"001105-3",0,0,0,0,0,0
"001106-1",307.45,301.17,494.64,255.19,445.52,1803.97
"001107-0",753.14,226.74,759.01,139.85,222.75,2101.49
"001108-8",784.31,108.48,441.79,98.97,313.29,1746.84
"001109-6",103.58,61.74,367.11,29.81,290.08,852.32
"001110-0",0,15.46,425.02,118.19,81.01,639.68
"001111-8",286.95,72.08,178.67,63.03,470.68,1071.41
"001112-6",0,335.37,0,0,7.87,343.24
"001113-4",0,0,162.56,0,387.89,550.45
"001114-2",0,70.66,114.84,0,176.79,362.29
"001115-0",0,127.93,0,0,86.14,214.07
"001116-9",0,148.11,1281.04,0,0,1429.15
"001117-7",0,0,0,0,0,0
"001118-5",0,0,0,0,0,0
"001119-3",0,0,0,0,0,0
"001122-3",65.12,54.82,318.34,0,189.76,628.04
"001123-1",0,0,0,0,0,0
"001124-0",0,0,0,0,12.58,12.58
"001129-0",0,0,0,0,56.6,56.6
"001130-4",0,0,0,0,42.96,42.96
"001131-2",0,0,0,0,0,0
"001132-0",0,0,0,0,0,0
"001133-9",0,209.09,198.81,0,69.84,477.74
"001134-7",584.31,89.13,514.7,0,121.43,1309.57
"001136-3",0,0,0,0,7.87,7.87
"001137-1",203.81,8.51,85.75,14.93,211.22,524.22
"001140-1",0,56.63,86.79,0,93.37,236.79
"001141-0",152.6,124.13,259.92,0,435.53,972.18
"001142-2",0,0,0,0,0,0
"001142-8",54.51,70.06,471.87,0,404.47,1000.91
"001143-6",123.25,76.54,335.22,0,287.41,822.42
"001144-4",0,0,0,0,225.65,225.65
"001145-2",0,0,0,215.43,176.44,391.87
"001146-0",0,119.67,242.12,0,139.2,500.99
"001147-9",441.37,0,0,0,124.78,566.15
"001148-7",0,0,0,0,359.04,359.04
"001149-5",0,60.37,332.71,0,220.65,613.73
"001150-9",34.38,62.84,127.43,0,128,352.65
"001151-7",274.27,99.48,489.74,27.63,449.63,1340.75
"001152-5",0,0,0,0,285.4,285.4
"001153-3",126.34,112.2,266.69,13.13,299.6,817.96
"001154-1",197.34,131.65,510.03,49.71,488.48,1377.21
"001155-0",0,0,0,0,548.71,548.71
"001156-8",152.4,94.38,319.31,0,472.38,1038.47
"001157-6",69.02,19.1,189.24,62.28,247.67,587.31
"001158-4",172.02,145.38,209.58,0,267.33,794.31
"001159-2",476.69,252.33,322.21,0,269.78,1321.01
"001160-6",0,21.01,0,0,106.38,127.39
"001161-4",659.57,860.12,1558.67,76.59,755.91,3910.86
"001162-2",587.46,680.87,1068.59,50.31,687.64,3074.87
"001163-0",87.06,57.28,214.4,135.03,327.64,821.41
"001164-9",0,0,0,0,115.44,115.44
"001165-7",71.74,40.96,247.47,0,153.13,513.3
"001166-5",0,107.29,222.15,0,170.97,500.41
"001167-3",229.05,107.2,254.39,90.44,311.07,992.15
"001168-1",259.11,108.45,337.41,150.04,289.52,1144.53
"001169-0",402.62,0,0,0,49.47,452.09
"001170-3",0,91.54,194.67,0,236.27,522.48
"001171-1",121.94,37.52,134.41,0,55.57,349.44
"001172-0",0,150.69,112.96,0,161.39,425.04
"001173-8",243.4,7.94,904.11,0,92.14,1247.59
"001174-6",448.11,0,433.25,0,132.54,1013.9
"001175-4",779.68,615.76,1069.64,81.68,692.76,3239.52
